latitude,longitude,altitude,geometry,position,username,commits,stars,languages,city,avatar
41.4433668,-0.8846827,,Point,18,sanacl,2394,1,CSS and Python,Madrid,https://avatars1.githubusercontent.com/u/326719?v=3&s=64
37.4850307,-2.2950183,,Point,19,javiereguiluz,2372,1566,PHP,Vitoria-Gasteiz (Spain),https://avatars0.githubusercontent.com/u/73419?v=3&s=64
41.4433668,-0.8846827,,Point,20,ealonso,2364,4,Java,Madrid,https://avatars1.githubusercontent.com/u/922631?v=3&s=64
42.8179879,-1.6441835,,Point,21,jotegui,2348,7,Python,"Pamplona, Spain",https://avatars0.githubusercontent.com/u/642210?v=3&s=64
41.4433668,-0.8846827,,Point,23,alexgallardo,2332,0,PHP,Madrid,https://avatars1.githubusercontent.com/u/7766614?v=3&s=64
38.9963599,-3.3731716,,Point,24,shakaran,2268,37,PHP,"Manzanares, Ciudad Real, España",https://avatars3.githubusercontent.com/u/14254?v=3&s=64
41.4433668,-0.8846827,,Point,25,apercas,2243,3,CSS,"Madrid, Spain",https://avatars0.githubusercontent.com/u/704210?v=3&s=64
43.3282003,-3.0315088,,Point,26,benatespina,2156,15,JavaScript,"Santurtzi, Basque Country",https://avatars2.githubusercontent.com/u/3951376?v=3&s=64
41.4433668,-0.8846827,,Point,27,dmoranj,2142,28,JavaScript,Madrid (Spain),https://avatars2.githubusercontent.com/u/1152892?v=3&s=64
41.4433668,-0.8846827,,Point,28,pedrovgs,2102,1842,Java,Madrid,https://avatars3.githubusercontent.com/u/4030704?v=3&s=64
41.4433668,-0.8846827,,Point,29,Obijuan,2042,188,Python,Madrid (Spain),https://avatars3.githubusercontent.com/u/1286062?v=3&s=64
41.9817957,2.8236999,,Point,30,repejota,2037,68,JavaScript,Girona,https://avatars1.githubusercontent.com/u/36673?v=3&s=64
